Product title,Product handle,Product description,Product status,Product thumbnail,Variant sku,Price EUR,Option 1 name,Option 1 value
2 PC Double Breasted Pin-Stripe Suit,mens-suit-m396sk-02,Elegant double-breasted suit with pin-stripe pattern,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,M396SK-02-38R,174.99,Size,38R
2 PC Double Breasted Pin-Stripe Suit,mens-suit-m396sk-02,Elegant double-breasted suit with pin-stripe pattern,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,M396SK-02-40R,174.99,Size,40R
2 PC Double Breasted Pin-Stripe Suit,mens-suit-m396sk-02,Elegant double-breasted suit with pin-stripe pattern,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,M396SK-02-42R,174.99,Size,42R
2 PC Double Breasted Solid Suit,mens-suit-m404sk-03,Charcoal gray double-breasted suit perfect for business,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,M404SK-03-38R,250.00,Size,38R
2 PC Double Breasted Solid Suit,mens-suit-m404sk-03,Charcoal gray double-breasted suit perfect for business,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,M404SK-03-40R,250.00,Size,40R
2 PC Double Breasted Solid Suit,mens-suit-m404sk-03,Charcoal gray double-breasted suit perfect for business,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,M404SK-03-42R,250.00,Size,42R
2 PC Satin Shawl Collar Suit,mens-suit-m341sk-06,Burgundy tuxedo with satin shawl collar,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,M341SK-06-38R,174.99,Size,38R
2 PC Satin Shawl Collar Suit,mens-suit-m341sk-06,Burgundy tuxedo with satin shawl collar,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,M341SK-06-40R,174.99,Size,40R
2 PC Satin Shawl Collar Suit,mens-suit-m341sk-06,Burgundy tuxedo with satin shawl collar,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,M341SK-06-42R,174.99,Size,42R
