Product ID,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Title,Product Collection Handle,Product Type,Product Tags,Product Discountable,Product External ID,Product Profile Name,Product Profile Type,Variant ID,Variant Title,Variant SKU,Variant Barcode,Variant Inventory Quantity,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Option 1 Name,Option 1 Value,Option 2 Name,Option 2 Value,Price USD
,,2 PC Double Breasted Solid Suit,,Versatile charcoal gray double-breasted suit. Perfect for business and formal events.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,,,,,,,,,,,Suits,,,,,,,38R,M404SK-03-38R,,10,false,true,,,,,,,,,Size,38R,,,250
,,2 PC Double Breasted Solid Suit,,Versatile charcoal gray double-breasted suit. Perfect for business and formal events.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,,,,,,,,,,,Suits,,,,,,,40R,M404SK-03-40R,,12,false,true,,,,,,,,,Size,40R,,,250
,,2 PC Double Breasted Solid Suit,,Versatile charcoal gray double-breasted suit. Perfect for business and formal events.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,,,,,,,,,,,Suits,,,,,,,42R,M404SK-03-42R,,14,false,true,,,,,,,,,Size,42R,,,250
,,2 PC Satin Shawl Collar Suit,,Rich burgundy suit with satin shawl collar. Stand out at any formal occasion.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,,,,,,,,,,,Suits,,,,,,,38R,M341SK-06-38R,,5,false,true,,,,,,,,,Size,38R,,,174.99
,,2 PC Satin Shawl Collar Suit,,Rich burgundy suit with satin shawl collar. Stand out at any formal occasion.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,,,,,,,,,,,Suits,,,,,,,40R,M341SK-06-40R,,6,false,true,,,,,,,,,Size,40R,,,174.99
,,2 PC Satin Shawl Collar Suit,,Rich burgundy suit with satin shawl collar. Stand out at any formal occasion.,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,,,,,,,,,,,Suits,,,,,,,42R,M341SK-06-42R,,7,false,true,,,,,,,,,Size,42R,,,174.99
