Product Handle,Product Title,Product Description,Product Status,Product Thumbnail,Variant SKU,Variant Title,Variant Price USD
mens-suit-m396sk-02,2 PC Double Breasted Pin-Stripe Suit,Elegant double-breasted men's suit with pin-stripe pattern,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,M396SK-02-38R,38R,174.99
mens-suit-m396sk-02,2 PC Double Breasted Pin-Stripe Suit,Elegant double-breasted men's suit with pin-stripe pattern,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,M396SK-02-40R,40R,174.99
mens-suit-m396sk-02,2 PC Double Breasted Pin-Stripe Suit,Elegant double-breasted men's suit with pin-stripe pattern,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M396SK-02.jpg,M396SK-02-42R,42R,174.99
mens-suit-m404sk-03,2 PC Double Breasted Solid Suit,Versatile charcoal gray double-breasted suit,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,M404SK-03-38R,38R,250.00
mens-suit-m404sk-03,2 PC Double Breasted Solid Suit,Versatile charcoal gray double-breasted suit,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,M404SK-03-40R,40R,250.00
mens-suit-m404sk-03,2 PC Double Breasted Solid Suit,Versatile charcoal gray double-breasted suit,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,M404SK-03-42R,42R,250.00
mens-suit-m341sk-06,2 PC Satin Shawl Collar Suit,Rich burgundy suit with satin shawl collar,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,M341SK-06-38R,38R,174.99
mens-suit-m341sk-06,2 PC Satin Shawl Collar Suit,Rich burgundy suit with satin shawl collar,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,M341SK-06-40R,40R,174.99
mens-suit-m341sk-06,2 PC Satin Shawl Collar Suit,Rich burgundy suit with satin shawl collar,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,M341SK-06-42R,42R,174.99
