Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,double-breasted-charcoal,2 PC Double Breasted Solid Suit,Premium Tazzio,Versatile charcoal gray double-breasted suit perfect for business and formal events,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,,,,,,,,,,,,TRUE,,,38R,M404SK-03-38R,,FALSE,TRUE,,,,,,,,,225,250,Size,38R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,
,double-breasted-charcoal,2 PC Double Breasted Solid Suit,Premium Tazzio,Versatile charcoal gray double-breasted suit perfect for business and formal events,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,,,,,,,,,,,,TRUE,,,40R,M404SK-03-40R,,FALSE,TRUE,,,,,,,,,225,250,Size,40R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,
,double-breasted-charcoal,2 PC Double Breasted Solid Suit,Premium Tazzio,Versatile charcoal gray double-breasted suit perfect for business and formal events,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,,,,,,,,,,,,TRUE,,,42R,M404SK-03-42R,,FALSE,TRUE,,,,,,,,,225,250,Size,42R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M404SK-03.jpg,
,satin-shawl-burgundy,Satin Shawl Collar Suit,Tuxedo Collection,Rich burgundy suit with satin shawl collar for special occasions,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,,,,,,,,,,,,TRUE,,,38R,M341SK-06-38R,,FALSE,TRUE,,,,,,,,,157,175,Size,38R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,
,satin-shawl-burgundy,Satin Shawl Collar Suit,Tuxedo Collection,Rich burgundy suit with satin shawl collar for special occasions,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,,,,,,,,,,,,TRUE,,,40R,M341SK-06-40R,,FALSE,TRUE,,,,,,,,,157,175,Size,40R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,
,satin-shawl-burgundy,Satin Shawl Collar Suit,Tuxedo Collection,Rich burgundy suit with satin shawl collar for special occasions,published,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,,,,,,,,,,,,TRUE,,,42R,M341SK-06-42R,,FALSE,TRUE,,,,,,,,,157,175,Size,42R,https://cdn.shopify.com/s/files/1/0893/7976/6585/files/M341SK-06.jpg,
