product_slug,product_name,image_count_ok,total_images,bad_images,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12
tuxedo-vested-exquisite-and-tuxedo-a-luxurious-ensemble-for-prom-and-wedding-seasons,Black Gold Tuxedo Vested Exquisite And Tuxedo A Luxurious Ensemble For Prom And Wedding Seasons,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/tuxedo-vested_exquisite-black-and-gold-tuxedo-a-luxurious-ensemble-for-prom-and-wedding-seasons_1.0.jpg,,,,,,,,,,,
tuxedo-vested-exquisite-with-blush-flower-tuxedo-a-stunning-choice-for-prom-and-wedding-celebrations,Rose Gold Tuxedo Vested Exquisite With Blush Flower Tuxedo A Stunning Choice For Prom And Wedding Celebrations,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/tuxedo-vested_exquisite-rose-gold-with-blush-flower-tuxedo-a-stunning-choice-for-prom-and-wedding-celebrations_1.0.jpg,,,,,,,,,,,
tuxedo-vested-exquisite-design-three-piece-tuxedo-with-satin-lapel-a-trendsetting-choice-for-prom-and-wedding-seasons,Cream Tuxedo Vested Exquisite Design Three Piece Tuxedo With Satin Lapel A Trendsetting Choice For Prom And Wedding Seasons,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/tuxedo-vested_exquisite-cream-design-three-piece-tuxedo-with-satin-lapel-a-trendsetting-choice-for-2024-prom-and-wedding-seasons_1.0.jpg,,,,,,,,,,,
tuxedo-vested-kct-menswear-elegance-tuxedo-timeless-sophistication,Navy Tuxedo Vested Kct Menswear Elegance Tuxedo Timeless Sophistication,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/tuxedo-vested_kct-menswear-navy-elegance-tuxedo-timeless-sophistication_1.0.jpg,,,,,,,,,,,
tuxedo-vested-kct-menswear-classic-tuxedo-monochrome-majesty,Black White Tuxedo Vested Kct Menswear Classic Tuxedo Monochrome Majesty,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/tuxedo-vested_kct-menswear-classic-black-white-tuxedo-monochrome-majesty_1.0.jpg,,,,,,,,,,,
tuxedo-vested-luxurious-all-satin-paisley-suit-a-distinguished-selection-for-prom-and-wedding-seasons,Gold Tuxedo Vested Luxurious All Satin Paisley Suit A Distinguished Selection For Prom And Wedding Seasons,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/tuxedo-vested_luxurious-all-gold-satin-paisley-suit-a-distinguished-selection-for-prom-and-wedding-seasons_1.0.jpg,,,,,,,,,,,
tuxedo-vested-luxurious-paisley-tuxedo-with-satin-highlights-perfect-for-prom-wedding-seasons,Ivory Tuxedo Vested Luxurious Paisley Tuxedo With Satin Highlights Perfect For Prom Wedding Seasons,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/tuxedo-vested_luxurious-ivory-paisley-tuxedo-with-satin-highlights-perfect-for-prom-wedding-seasons_1.0.jpg,,,,,,,,,,,
tuxedo-vested-timeless-classic-tuxedo-kct-menswears-staple-of-elegance,Black Tuxedo Vested Timeless Classic Tuxedo Kct Menswears Staple OF Elegance,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/tuxedo-vested_timeless-classic-black-tuxedo-kct-menswears-staple-of-elegance_1.0.jpg,,,,,,,,,,,
tuxedo-vested-striking-burnt-tuxedo-the-ultimate-choice-for-prom-and-wedding-seasons,Orange Tuxedo Vested Striking Burnt Tuxedo The Ultimate Choice For Prom And Wedding Seasons,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/tuxedo-vested_striking-burnt-orange-tuxedo-the-ultimate-choice-for-2024-prom-and-wedding-seasons_1.0.jpg,,,,,,,,,,,
tuxedo-vested-rust-tuxedo-jacket-embrace-autumn-elegance-with-kct-menswear,Tuxedo Vested Rust Tuxedo Jacket Embrace Autumn Elegance With Kct Menswear,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/tuxedo-vested_rust-tuxedo-jacket-embrace-autumn-elegance-with-kct-menswear_1.0.webp,,,,,,,,,,,
