product_slug,product_name,image_count_ok,total_images,bad_images,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12
nan-dusty-vest-and-tie-set,Rose Nan Dusty Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_dusty-rose-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-emerald-vest-and-tie-set,Green Nan Emerald Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/nan_emerald-green-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-forest-vest-and-tie-set,Green Nan Forest Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_forest-green-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-french-vest-and-tie-set,Blue Nan French Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_french-blue-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-french-wedding-bundle,Rose Nan French Wedding Bundle,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/nan_french-rose-wedding-bundle_4.0.jpg,,,,,,,,,,,
nan-fuchsia-vest-and-tie-set,Nan Fuchsia Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_fuchsia-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-lettuce-vest-and-tie-set,Green Nan Lettuce Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_lettuce-green-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-kiwi-vest-and-tie-set,Green Nan Kiwi Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_kiwi-green-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-light-suspender-bow-tie-set,Blue Nan Light Suspender Bow Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_light-blue-suspender-bow-tie-set_1.0.jpg,,,,,,,,,,,
nan-light-vest-and-tie-set,Pink Nan Light Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/nan_light-pink-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-lime-vest-and-tie-set,Green Nan Lime Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_lime-green-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
nan-medium-vest-and-tie-set,Red Nan Medium Vest And Tie Set,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/nan_medium-purple-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_medium-red-vest-and-tie-set_1.0.jpg,,,,,,,,,,
nan-mocha-vest-and-tie-set,Nan Mocha Vest And Tie Set,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/nan_mocha-vest-and-tie-set_1.0.jpg,,,,,,,,,,,
