product_slug,product_name,image_count_ok,total_images,bad_images,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12
sparkle-vest-and-tie-sparkle-vest-and-bowtie,Royal Blue Sparkle Vest And Tie Sparkle Vest And Bowtie,3,3,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/sparkle-vest-and-tie_red-sparkle-vest-and-bowtie_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/sparkle-vest-and-tie_red-sparkle-vest-and-bowtie_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/sparkle-vest-and-tie_royal-blue-sparkle-vest-and-bowtie_1.0.jpg,,,,,,,,,
suspender-set-suspender-bow-tie-set,Black Suspender Set Suspender Bow Tie Set,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/suspender-set_black-suspender-bow-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/suspender-set_black-suspender-bow-tie-set_1.0.jpg,,,,,,,,,,
tie-and-bowtie-french-wedding-bundle,Rose Tie And Bowtie French Wedding Bundle,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/tie-and-bowtie_french-rose-wedding-bundle_1.0.jpg,,,,,,,,,,,
vest-and-tie-aqua-vest-and-tie-set,Vest And Tie Aqua Vest And Tie Set,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/vest-and-tie_aqua-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/vest-and-tie_aqua-vest-and-tie-set_1.0.jpg,,,,,,,,,,
vest-and-tie-vest-and-tie-set,Red Vest And Tie Vest And Tie Set,4,4,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/vest-and-tie_royal-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/vest-and-tie_red-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/vest-and-tie_royal-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/vest-and-tie_red-vest-and-tie-set_1.0.jpg,,,,,,,,
vest-tie-baby-vest-and-tie-set,Blue Vest Tie Baby Vest And Tie Set,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/vest-tie_baby-blue-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/vest-tie_baby-blue-vest-and-tie-set_1.0.jpg,,,,,,,,,,
vest-tie-chartreuse-vest-and-tie-set,Yellow Vest Tie Chartreuse Vest And Tie Set,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/vest-tie_chartreuse-yellow-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/vest-tie_chartreuse-yellow-vest-and-tie-set_1.0.jpg,,,,,,,,,,
vest-tie-deep-vest-and-tie-set,Purple Vest Tie Deep Vest And Tie Set,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/vest-tie_deep-purple-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/vest-tie_deep-purple-vest-and-tie-set_1.0.jpg,,,,,,,,,,
vest-tie-magenta-vest-and-tie-set,Vest Tie Magenta Vest And Tie Set,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/vest-tie_magenta-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/vest-tie_magenta-vest-and-tie-set_1.0.jpg,,,,,,,,,,
vest-tie-medium-vest-and-tie-set,Brown Vest Tie Medium Vest And Tie Set,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/vest-tie_medium-brown-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_03/vest-tie_medium-brown-vest-and-tie-set_1.0.jpg,,,,,,,,,,
vest-tie-vest-and-tie-set,Beige Vest Tie Vest And Tie Set,6,6,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/vest-tie_charcoal-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/vest-tie_peach-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/vest-tie_beige-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/vest-tie_charcoal-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_02/vest-tie_peach-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/vest-tie_beige-vest-and-tie-set_1.0.jpg,,,,,,
vest-tie-plum-vest-and-tie-set,Vest Tie Plum Vest And Tie Set,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/vest-tie_plum-vest-and-tie-set_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/tie_clean_batch_01/tie_clean_batch_04/vest-tie_plum-vest-and-tie-set_1.0.jpg,,,,,,,,,,
