folder,product_stem,main_image_url,gallery_urls,total_images,has_model,has_non_model_counterpart
sparkle-blazer,mens_white_sparkle_texture_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_white_sparkle_texture_sparkle_blazer_2025_1043.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_white_sparkle_texture_sparkle_blazer_2025_1043.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_white_sparkle_texture_sparkle_blazer_2025_1044.webp,2,no,yes
stretch_suits,mens_stretch_suits_suit_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2025_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2025_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2025_1.webp,2,no,yes
stretch_suits,mens_stretch_suits_suit_2026,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_model_2026_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2026_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_model_2026_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2026_1.webp,3,yes,yes
stretch_suits,mens_stretch_suits_suit_2027,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2027_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2027_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2027_1.webp,2,no,yes
stretch_suits,mens_stretch_suits_suit_2028,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_model_2028_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2028_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_model_2028_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2028_1.webp,3,yes,yes
stretch_suits,mens_stretch_suits_suit_2029,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_model_2029_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2029_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_model_2029_0.webp,2,yes,yes
stretch_suits,mens_stretch_suits_suit_2030,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_model_2030_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2030_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_model_2030_0.webp,2,yes,yes
stretch_suits,mens_stretch_suits_suit_2031,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_model_2031_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2031_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_model_2031_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2031_1.webp,3,yes,yes
stretch_suits,mens_stretch_suits_suit_2032,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2032_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2032_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2032_1.webp,2,no,yes
stretch_suits,mens_stretch_suits_suit_2033,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_model_2033_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_2033_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_model_2033_0.webp,2,yes,yes
stretch_suits,mens_stretch_suits_suit_2034,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_model_2034_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/stretch_suits/mens_stretch_suits_suit_model_2034_0.webp,1,yes,no
suits,mens_suits_suit_2035,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/suits/mens_suits_suit_model_2035_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/suits/mens_suits_suit_2035_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/suits/mens_suits_suit_model_2035_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/suits/mens_suits_suit_model_2035_1.webp,3,yes,yes
suits,mens_suits_suit_2036,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/suits/mens_suits_suit_model_2036_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/suits/mens_suits_suit_2036_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/suits/mens_suits_suit_model_2036_0.webp,2,yes,yes
suits,mens_suits_suit_2037,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/suits/mens_suits_suit_model_2037_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/suits/mens_suits_suit_2037_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/suits/mens_suits_suit_model_2037_0.webp,2,yes,yes
summer-blazer,mens_blue_casual_summer_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_blue_casual_summer_blazer_2025_1025.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_blue_casual_summer_blazer_2025_1025.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_blue_casual_summer_blazer_2025_1026.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_blue_casual_summer_blazer_2025_1027.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_blue_casual_summer_blazer_2025_1028.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_blue_casual_summer_blazer_2025_1029.webp,5,no,yes
summer-blazer,mens_brown_casual_summer_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_brown_casual_summer_blazer_2025_1023.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_brown_casual_summer_blazer_2025_1023.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_brown_casual_summer_blazer_2025_1026.webp,2,no,yes
summer-blazer,mens_mint_casual_summer_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_mint_casual_summer_blazer_2025_1027.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_mint_casual_summer_blazer_2025_1027.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_mint_casual_summer_blazer_2025_1028.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_mint_casual_summer_blazer_2025_1029.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_mint_casual_summer_blazer_2025_1030.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_mint_casual_summer_blazer_2025_1031.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_mint_casual_summer_blazer_2025_1032.webp,6,no,yes
summer-blazer,mens_pink_casual_summer_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_pink_casual_summer_blazer_2025_1024.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_pink_casual_summer_blazer_2025_1024.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_pink_casual_summer_blazer_2025_1025.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_pink_casual_summer_blazer_2025_1026.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_pink_casual_summer_blazer_2025_1027.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_pink_casual_summer_blazer_2025_1028.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_pink_casual_summer_blazer_2025_1029.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_pink_casual_summer_blazer_2025_1030.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_pink_casual_summer_blazer_2025_1031.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_pink_casual_summer_blazer_2025_1032.webp,9,no,yes
summer-blazer,mens_yellow_casual_summer_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_yellow_casual_summer_blazer_2025_1022.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_yellow_casual_summer_blazer_2025_1022.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_yellow_casual_summer_blazer_2025_1023.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_yellow_casual_summer_blazer_2025_1024.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_yellow_casual_summer_blazer_2025_1025.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/summer-blazer/mens_yellow_casual_summer_blazer_2025_1026.webp,5,no,yes
tuxedos,mens_tuxedos_suit_2001,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2001_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2001_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2001_1.webp,2,no,yes
tuxedos,mens_tuxedos_suit_2002,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2002_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2002_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2002_1.webp,2,no,yes
tuxedos,mens_tuxedos_suit_2003,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_model_2003_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2003_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_model_2003_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2003_1.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2003_2.webp,4,yes,yes
tuxedos,mens_tuxedos_suit_2004,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_model_2004_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2004_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_model_2004_0.webp,2,yes,yes
tuxedos,mens_tuxedos_suit_2005,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2005_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2005_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2005_1.webp,2,no,yes
tuxedos,mens_tuxedos_suit_2006,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2006_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2006_0.webp,1,no,yes
tuxedos,mens_tuxedos_suit_2007,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2007_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2007_0.webp,1,no,yes
tuxedos,mens_tuxedos_suit_2008,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_model_2008_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2008_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_model_2008_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2008_1.webp,3,yes,yes
tuxedos,mens_tuxedos_suit_2009,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_model_2009_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2009_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_model_2009_0.webp,2,yes,yes
tuxedos,mens_tuxedos_suit_2010,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2010_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2010_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2010_1.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2010_2.webp,3,no,yes
tuxedos,mens_tuxedos_suit_2011,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_model_2011_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2011_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_model_2011_0.webp,2,yes,yes
tuxedos,mens_tuxedos_suit_2012,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2012_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2012_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2012_1.webp,2,no,yes
tuxedos,mens_tuxedos_suit_2013,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2013_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2013_0.webp,1,no,yes
tuxedos,mens_tuxedos_suit_2014,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2014_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2014_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2014_1.webp,2,no,yes
tuxedos,mens_tuxedos_suit_2015,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_model_2015_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2015_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_model_2015_0.webp,2,yes,yes
tuxedos,mens_tuxedos_suit_2016,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2016_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2016_0.webp,1,no,yes
tuxedos,mens_tuxedos_suit_2017,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_model_2017_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2017_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_model_2017_0.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2017_1.webp,3,yes,yes
tuxedos,mens_tuxedos_suit_2018,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2018_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2018_0.webp,1,no,yes
tuxedos,mens_tuxedos_suit_2019,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2019_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2019_0.webp,1,no,yes
tuxedos,mens_tuxedos_suit_2020,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2020_0.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/tuxedos/mens_tuxedos_suit_2020_0.webp,1,no,yes
velvet-blazer,mens_black_paisley_pattern_velvet,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_black_paisley_pattern_velvet_model_1059.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_black_paisley_pattern_velvet_model_1059.webp,1,yes,no
velvet-blazer,mens_black_paisley_pattern_velvet_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_black_paisley_pattern_velvet_blazer_2025_1059.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_black_paisley_pattern_velvet_blazer_2025_1059.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_black_paisley_pattern_velvet_blazer_2025_1060.webp,2,no,yes
velvet-blazer,mens_black_solid_velvet,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_black_solid_velvet_model_1064.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_black_solid_velvet_model_1064.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_black_solid_velvet_model_1081.webp,2,yes,no
velvet-blazer,mens_black_velvet_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_black_velvet_blazer_2025_1081.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_black_velvet_blazer_2025_1081.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_black_velvet_blazer_2025_1090.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_black_velvet_blazer_2025_1096.webp,3,no,yes
velvet-blazer,mens_black_velvet_blazer_shawl_lapel_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_black_velvet_blazer_shawl_lapel_2025_1064.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_black_velvet_blazer_shawl_lapel_2025_1064.webp,1,no,yes
velvet-blazer,mens_brown_solid_velvet,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_brown_solid_velvet_model_1078.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_brown_solid_velvet_model_1078.webp,1,yes,no
velvet-blazer,mens_brown_velvet_blazer_with_bowtie_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_brown_velvet_blazer_with_bowtie_2025_1078.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_brown_velvet_blazer_with_bowtie_2025_1078.webp,1,no,yes
velvet-blazer,mens_burgundy_solid_velvet,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_burgundy_solid_velvet_model_1084.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_burgundy_solid_velvet_model_1084.webp,1,yes,no
velvet-blazer,mens_burgundy_velvet_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_burgundy_velvet_blazer_2025_1065.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_burgundy_velvet_blazer_2025_1065.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_burgundy_velvet_blazer_2025_1070.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_burgundy_velvet_blazer_2025_1074.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_burgundy_velvet_blazer_2025_1079.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_burgundy_velvet_blazer_2025_1084.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_burgundy_velvet_blazer_2025_1085.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_burgundy_velvet_blazer_2025_1091.webp,7,no,yes
velvet-blazer,mens_green_paisley_pattern_velvet,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_green_paisley_pattern_velvet_model_1089.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_green_paisley_pattern_velvet_model_1089.webp,1,yes,no
velvet-blazer,mens_green_paisley_pattern_velvet_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_green_paisley_pattern_velvet_blazer_2025_1089.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_green_paisley_pattern_velvet_blazer_2025_1089.webp,1,no,yes
velvet-blazer,mens_green_solid_velvet,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_green_solid_velvet_model_1060.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_green_solid_velvet_model_1060.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_green_solid_velvet_model_1082.webp,2,yes,no
velvet-blazer,mens_green_velvet_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_green_velvet_blazer_2025_1056.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_green_velvet_blazer_2025_1056.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_green_velvet_blazer_2025_1082.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_green_velvet_blazer_2025_1093.webp,3,no,yes
velvet-blazer,mens_green_velvet_blazer_with_bowtie_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_green_velvet_blazer_with_bowtie_2025_1060.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_green_velvet_blazer_with_bowtie_2025_1060.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_green_velvet_blazer_with_bowtie_2025_1068.webp,2,no,yes
velvet-blazer,mens_navy_solid_velvet,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_navy_solid_velvet_model_1066.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_navy_solid_velvet_model_1066.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/velvet-blazer/mens_navy_solid_velvet_model_1087.webp,2,yes,no
