folder,product_stem,main_image_url,gallery_urls,total_images,has_model,has_non_model_counterpart
prom_blazer,mens_pink_floral_pattern_prom_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_pink_floral_pattern_prom_blazer_2025_1008.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_pink_floral_pattern_prom_blazer_2025_1008.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_pink_floral_pattern_prom_blazer_2025_1009.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_pink_floral_pattern_prom_blazer_2025_1010.webp,3,no,yes
prom_blazer,mens_red_floral_pattern_prom_blazer,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_red_floral_pattern_prom_blazer_model_1018.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_red_floral_pattern_prom_blazer_model_1018.webp,1,yes,no
prom_blazer,mens_red_floral_pattern_prom_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_red_floral_pattern_prom_blazer_2025_1001.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_red_floral_pattern_prom_blazer_2025_1001.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_red_floral_pattern_prom_blazer_2025_1002.webp,2,no,yes
prom_blazer,mens_red_floral_pattern_prom_blazer_with_bowtie_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_red_floral_pattern_prom_blazer_with_bowtie_2025_1018.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_red_floral_pattern_prom_blazer_with_bowtie_2025_1018.webp,1,no,yes
prom_blazer,mens_red_prom_blazer_with_bowtie_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_red_prom_blazer_with_bowtie_2025_1014.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_red_prom_blazer_with_bowtie_2025_1014.webp,1,no,yes
prom_blazer,mens_red_solid_prom_blazer,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_red_solid_prom_blazer_model_1014.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_red_solid_prom_blazer_model_1014.webp,1,yes,no
prom_blazer,mens_royal_blue_solid_prom_blazer,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_royal_blue_solid_prom_blazer_model_1017.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_royal_blue_solid_prom_blazer_model_1017.webp,1,yes,no
prom_blazer,mens_royal-blue_embellished_design_prom_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_royal-blue_embellished_design_prom_blazer_2025_1003.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_royal-blue_embellished_design_prom_blazer_2025_1003.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_royal-blue_embellished_design_prom_blazer_2025_1020.webp,2,no,yes
prom_blazer,mens_royal-blue_prom_blazer_with_bowtie_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_royal-blue_prom_blazer_with_bowtie_2025_1017.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_royal-blue_prom_blazer_with_bowtie_2025_1017.webp,1,no,yes
prom_blazer,mens_teal_floral_pattern_prom_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_teal_floral_pattern_prom_blazer_2025_1005.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_teal_floral_pattern_prom_blazer_2025_1005.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_teal_floral_pattern_prom_blazer_2025_1006.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_teal_floral_pattern_prom_blazer_2025_1007.webp,3,no,yes
prom_blazer,mens_white_prom_blazer_with_bowtie_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_white_prom_blazer_with_bowtie_2025_1012.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_white_prom_blazer_with_bowtie_2025_1012.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_white_prom_blazer_with_bowtie_2025_1021.webp,2,no,yes
prom_blazer,mens_white_rhinestone_embellished_prom_blazer_shawl_lapel_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_white_rhinestone_embellished_prom_blazer_shawl_lapel_2025_1002.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_white_rhinestone_embellished_prom_blazer_shawl_lapel_2025_1002.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/prom_blazer/mens_white_rhinestone_embellished_prom_blazer_shawl_lapel_2025_1003.webp,2,no,yes
sparkle-blazer,mens_black_glitter_finish_sparkle,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_black_glitter_finish_sparkle_model_1030.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_black_glitter_finish_sparkle_model_1030.webp,1,yes,no
sparkle-blazer,mens_black_glitter_finish_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_black_glitter_finish_sparkle_blazer_2025_1030.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_black_glitter_finish_sparkle_blazer_2025_1030.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_black_glitter_finish_sparkle_blazer_2025_1031.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_black_glitter_finish_sparkle_blazer_2025_1032.webp,3,no,yes
sparkle-blazer,mens_black_sparkle_texture_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_black_sparkle_texture_sparkle_blazer_2025_1032.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_black_sparkle_texture_sparkle_blazer_2025_1032.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_black_sparkle_texture_sparkle_blazer_2025_1036.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_black_sparkle_texture_sparkle_blazer_2025_1047.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_black_sparkle_texture_sparkle_blazer_2025_1053.webp,4,no,yes
sparkle-blazer,mens_blue_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_blue_sparkle_blazer_2025_1034.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_blue_sparkle_blazer_2025_1034.webp,1,no,yes
sparkle-blazer,mens_blue_sparkle_blazer_shawl_lapel_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_blue_sparkle_blazer_shawl_lapel_2025_1054.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_blue_sparkle_blazer_shawl_lapel_2025_1054.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_blue_sparkle_blazer_shawl_lapel_2025_1055.webp,2,no,yes
sparkle-blazer,mens_burgundy_glitter_finish_sparkle,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_burgundy_glitter_finish_sparkle_model_1046.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_burgundy_glitter_finish_sparkle_model_1046.webp,1,yes,no
sparkle-blazer,mens_burgundy_glitter_finish_sparkle_blazer_2025,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_burgundy_glitter_finish_sparkle_blazer_2025_1040.webp,https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_burgundy_glitter_finish_sparkle_blazer_2025_1040.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_burgundy_glitter_finish_sparkle_blazer_2025_1046.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_burgundy_glitter_finish_sparkle_blazer_2025_1047.webp;https://pub-8ea0502158a94b8ca8a7abb9e18a57e8.r2.dev/sparkle-blazer/mens_burgundy_glitter_finish_sparkle_blazer_2025_1048.webp,4,no,yes
